ATE,ASE,AOE,num_pts
0.14389620478296283,0.30016792452895324,0.037887248992920064,70
0.06336424671765495,0.1551837823069272,0.0767835569381714,55
0.04856523486945491,0.07697664299250606,0.13232000827789303,70
0.09599172205611937,0.21551027984879745,2.7793044233322144,66
0.10150356712909345,0.2995859075293995,0.21365392208099365,383
0.09423747233729586,0.1612863626581239,0.1603083324432375,277
0.16781558600668145,0.5461360502074487,0.2038497018814085,24
0.1579776895297561,0.20637519665928894,0.212800393104553,17
0.07290739126246683,0.05643588189845916,0.06595127582550031,132
0.1318905742386574,0.10851442127541366,0.1404214048385617,116
0.08957770034898663,0.02923962152529913,0.2045890188217161,113
0.10118553896106068,0.12065716433736096,0.007096459065571992,347
0.06264409864127907,0.3429637184569092,0.22614129066467292,39
0.029311738379654843,0.08119201217295813,0.09570381641387948,86
0.1491560712438271,0.3999434332787961,2.9453720617294312,57
0.14447929733861864,0.19997708893473887,0.5631675767898559,281
1.3562225553711102,0.18041277688103086,0.19916064739227313,121
0.055718375388327135,0.3737984683032971,0.09040060043334952,542
0.052811538974606595,0.11426895462022335,0.6955979156494139,72
1.1203226727696762,0.2853152451481855,1.0965742158889773,143
0.7115895812722449,0.21075785279175074,2.728903729115621,153
0.07911668147380899,0.18524485310360694,0.29343799591064457,39
0.10401629714369497,0.11096251791344225,0.02549826622009288,54
0.10170355216490494,0.22934548849913083,0.22416117191314688,92
0.045432000994362454,0.09815689553148921,0.40058304468263817,91
0.1528882028961436,0.08044877937392958,1.3259612321853638,31
0.07822059725195708,0.2660868952756499,0.30690420150756825,64
0.031004632638075777,0.4378907194128995,0.03629947185516347,46
0.04086169185532992,0.44177413220322925,0.08250834941864005,48
0.4755407732073317,0.4414161121121506,3.1077298466311856,92
0.06491248191918479,0.12272934776124456,0.7291680479049685,62
0.21962598158021754,0.28013799955538754,1.5857128874408168,0
0.0802718761385561,0.15223231751268163,0.003448810577392436,380
0.1229727093015429,0.11825036560241065,2.9407365004168913,238
0.14622868485986065,0.11658736421900795,2.89362952709198,40
0.060663452511255135,0.37715351128563,0.08257165908813491,120
0.21495456728771775,0.5270304377421204,3.121423985158102,134
0.19473729706195508,0.2625956298626583,1.9532885408401492,115
0.038094625920946985,0.4875123931238462,0.33244745254516594,26
0.05017428544113836,0.1402985205929892,0.133333115577698,179
0.07694288771958109,0.10224745994450035,0.006524200439453232,293
0.0535904329168893,0.31227776956787,0.15223519802093488,19
0.08411387237164777,0.4384520839608572,0.24581261316408387,314
0.07874709507274481,0.10700673497139279,0.19495333194732645,435
0.05504859189802965,0.11174531397144916,0.1308257150650025,264
0.05019044233948635,0.21953506785110988,0.24685879230499275,46
1.0765327615316005,0.12242512313017384,2.1215188376056116,32
0.3395489470025663,0.13522720549355227,2.636511778831482,16
0.4761731193426532,0.07669878375608508,2.9429469442367555,16
0.06456294601118488,0.18778207697496163,0.2858017921447753,24
0.05843704036905939,0.1348348205308315,0.07354467868804937,611
0.21193499678476663,0.2174775031700087,0.13951998233795182,16
0.2904107242652994,0.3811155922456033,0.26886768976320496,13
0.0475354841514551,0.42277679530038237,0.1686102724075318,41
0.12486600790652812,0.369927716566392,0.19088739871978788,14
0.38530918614182486,0.5596636801765013,1.6424431276321414,10
0.12101609494243964,0.4754950724075597,2.133881440162659,29
0.13420172063530117,0.10388191135082825,0.43818944612612043,370
0.05463639267490001,0.14670418291771536,0.050889377593994034,337
1.6521670394046413,0.6313702065323703,1.005585141181946,118
0.009059796095097238,0.07200334935514252,0.1184710741043089,186
0.02585805958534198,0.23598852432548145,0.09931858539581295,303
0.03977697368372805,0.05993421134796273,0.6216300964355468,261
0.01756391257165392,0.09916730903404158,0.0736476564407349,173
0.24115064063227812,0.2727573111426679,0.15100588321685793,130
0.5651947210600182,0.09156693470860133,3.026727499961853,248
0.0924869324152122,0.18726712017822345,0.1763425397872922,78
0.0674186921081377,0.06890539300953502,0.09992910861968962,110
0.757785940553243,0.04854064020636695,0.2025932264328003,59
0.4763273913096218,0.22604033745198626,0.3076717185974118,214
0.021833461960863016,0.12947650859220983,0.22761409282684308,189
0.0635486594832924,0.0269714693736548,0.10969994068145761,521
0.022921567692648307,0.041583969955092726,0.15795644760131822,515
0.030762815205549465,0.06765338329502135,0.12244936466217027,591
0.049061456821020005,0.03803426768310103,0.4037589740753176,168
0.09516471861646125,0.02650252388057095,0.11355205059051521,113
0.04731210207557519,0.2583237857970391,0.3288505935668944,55
0.10010305939895557,0.2384676090279232,2.8091928211795256,143
0.12606981869638598,0.06597051891379224,0.557015504837036,131
0.10575564775155799,0.18420080409146122,0.20313607851137405,153
1.7938928882151333,0.3089932295798118,0.3994413805007935,228
0.3347864461924545,0.1756557425435672,2.9596333265304566,76
0.1086525730816014,0.1674204671820022,0.0631501245498658,414
0.1095264035797442,0.35414503991299806,0.08548445701599139,15
0.15644561897624107,0.4519568779138843,0.19468709468841539,18
0.08122958823192096,0.4011984668375467,0.1074057912826536,259
0.05272677285246749,0.09929259593465822,0.5142903375625609,265
0.0857103314321712,0.13498683491768104,0.32762848377227805,331
0.1070515213941345,0.44731172786456763,0.024011130332946884,72
0.22019177244453642,0.3286196806385837,0.07988759994506855,47
0.10126309961462382,0.13563924174084085,2.3253745841979985,54
0.09778058295200838,0.1433330419098947,0.1543176269531248,143
0.12486991678428318,0.5633031574071282,0.11595001220703116,40
0.10461014638340772,0.06949875747593304,0.061544844304219026,371
0.011501365171586926,0.39409519309727226,0.20857185840606718,207
0.14760819246182783,0.31548266558657767,0.22766012668609648,44
0.07723698246368803,0.11926347798376169,0.07775126934051535,289
0.7979484878644352,0.12853492867537142,2.609792294502258,499
0.14520743809075878,0.06439694416167974,0.29319303512573214,60
0.5012187235086085,0.0643714889400705,3.0726327721225184,56
0.13927614727654866,0.14940286990117468,0.4822348451614378,134
1.6172364092520866,0.07781716980914344,3.13086624622345,794
0.40908013344489275,0.20234648957973733,0.22617640972137476,53
0.06764284655968571,0.1130324500486719,0.18579392910003634,174
0.06795398039224464,0.16176979509086042,0.048370022773742694,34
0.06467084289683593,0.42757715617322456,0.2126030397415164,57
0.09059751774015017,0.28227953581144927,0.24992174625396757,38
0.2628450143880026,0.24015098967850745,0.15002298831939687,19
0.05287785488724912,0.3610874306629769,0.15957172075380477,16
0.09733669041857336,0.09164555087096371,0.06135517597198481,461
0.037962031692910035,0.04725627555758871,0.22959078311920145,434
0.053220068782706326,0.10932464185549517,0.1489591073989871,486
0.04335076025340563,0.12537722617311475,0.18744044780731173,176
0.08966700937197847,0.18288362781950906,2.8927402448654176,654
0.08819215617293108,0.07309672144477697,0.23430235385894793,719
0.45834182250091565,0.25182142105574845,2.7654610109329223,81
0.22232114779011286,0.33411663254922486,1.3696359252929686,335
0.0873346968858301,0.32054985691399984,0.042470479011535556,208
0.028930936903556352,0.22252388486319208,2.8344750372516074,29
0.07376130335854214,0.047086855644136394,0.1227755022048953,28
0.026155734451609736,0.3116514918349339,0.25600539684295676,122
0.11056231386204957,0.09396498211809812,0.2918357992172238,106
0.029147827383631777,0.17303877659137612,0.06202851772308371,133
0.0699396885042206,0.17863566569607214,0.019643588066101003,391
0.22353394172837796,0.3067266460403517,1.211494598388672,3
0.04652636826927526,0.15688958385440843,0.10273897647857666,283
0.09781557910434442,0.07636046297582288,0.14255121707916274,204
0.17003136704124303,0.4411565217134221,0.17010807037353537,26
1.4413851556006612,0.4644479611574448,0.09030750274658228,147
0.027429639968217477,0.15043639763172467,0.29507271289825443,93
0.03660660510400423,0.11237773992255806,0.04384020328521743,426
0.8828120845954202,0.10356317495133283,0.3272249460220338,495
0.6870545628950289,0.10716916939315557,0.01992769718170173,432
0.02726451223671836,0.31396640522972863,0.0758365869522093,124
0.1405498823445462,0.5053242449866592,3.0859132210360922,20
0.045510151687450914,0.36767722936597524,0.35772975921630845,39
0.04569730128556854,0.41444554561009594,0.007910304069518759,10
0.017803248155742784,0.11831416532639727,0.08451419353485079,321
0.05566592005869524,0.023603014042531623,0.04508655071258527,247
0.05323015454050229,0.15088773747818107,0.09818538188934323,658
0.05310928292225292,0.19955099022865452,0.14045782089233416,812
0.010528169521754583,0.2044904190192074,0.15342461109161398,225
0.011507552982119314,0.40040364619999713,0.1627508306503298,426
0.048475997720887884,0.13889939605578716,0.26099293231964094,205
0.12744548521139995,0.1693861930361723,0.1388841199874875,19
0.30871319042161266,0.14790514505810182,0.10190081119537364,85
0.5114389432002913,0.11398166078329153,0.0720475387573245,0
0.08547597126196804,0.0637202588441047,0.3772920608520507,162
0.03190899364893151,0.15403301129346592,0.1482450294494626,790
0.1021472267420923,0.34813418891424774,0.25828659534454346,1172
0.08874349408169765,0.15248493313690947,0.05850608348846453,535
0.15486584639147022,0.29014135264856333,0.8613916778564454,46
0.06388407884202012,0.07830249367051123,0.06077290058135976,457
0.15691560824716133,0.1648735522728607,0.07994891643524138,201
0.7282840947849933,0.43401740138400524,0.4825614118576049,69
0.085279154860152,0.23712783604013654,2.932307998334066,59
0.135131846464198,0.1536119734093162,3.0557517210589804,95
0.08678304483184911,0.10351141745355252,0.09728348255157471,169
0.002619409638135553,0.2542384377496203,0.03490441799163824,76
0.10164380804537178,0.20997689309621925,0.3219022512435914,64
0.9426153892867389,0.09367842064664833,2.6177556562423705,233
0.09880493191929904,0.336317066898162,0.6070899724960328,45
0.06466191160579528,0.45916443286666064,0.2971517753601072,21
0.020370999599019418,0.05725761090351955,0.45432323932647733,41
0.009061656459157031,0.06344598195443829,0.20581621646881132,38
0.24511274916952924,0.38128548608633395,0.15395798206329347,57
0.14147760824485062,0.1644774908871699,0.0972569227218627,511
0.09324610893266133,0.2150487351789192,0.1289681291580198,75
0.6765748908624697,0.28838644816643455,3.092251836453573,396
0.56022342606528,0.1910679425055568,1.5480603837966918,77
0.0608416259829846,0.10466468293378839,0.05846765995025649,131
0.11912030766073088,0.1013282957436401,0.08891738414764383,98
0.06780196423399062,0.02003235143023252,0.0641798257827757,690
0.9094383812123195,0.32993554027771665,2.4502022329913533,316
0.10286261649943192,0.0263400574861824,0.617445201873779,70
0.6972642594771818,0.4138219174637606,0.31656066417694095,21
0.6825716250579938,0.3184698127941755,0.17285588741302504,35
0.06234842691676275,0.10099699739065093,0.344283281956808,295
0.04244908467587218,0.03318462194478844,0.30594629764556913,64
1.5531331382334452,0.104835974596872,0.10900015354156523,65
0.07108151923668606,0.11721798948467754,0.3018480730056763,748
0.08273283025522213,0.14802233730632475,0.06540643692016612,98
0.06539407897751098,0.400744919494768,0.14078312397003145,199
1.249590228159981,0.45417534759102396,1.4013776254653934,91
1.0296922510214903,0.12325096059170693,1.2867373466491698,26
0.03605337879541131,0.20273041926108482,0.04271355152130152,497
0.10780928691445732,0.09318930057279806,0.017185530662536586,155
0.0898691207355651,0.27640801887430366,0.14811224460601835,65
1.861281772300129,0.5483187340784118,0.2155026865005496,70
0.08220174646294573,0.09569256792561287,0.14432571092714497,255
